sample_old,tot,het,period_2,period_3,period_4,period_5,period_6
R17021071LD01,32369,22439,19009,3318,7586,2140,316
R17021072LD01,32474,22536,19087,3286,7624,2146,331
R17021074LD01,32406,22595,18996,3333,7581,2186,310
R17021075LD01,32594,22689,19049,3368,7698,2151,328
R17021076LD01,32615,22811,19054,3332,7727,2180,322
R17021077LD01,32554,22693,19027,3364,7637,2202,324
R17021078LD01,32663,22897,19084,3320,7711,2215,333
R17021079LD01,32493,22658,19064,3306,7614,2188,321
R17021080LD01,32432,22579,18995,3294,7617,2212,314
R17021082LD01,32347,22626,19027,3240,7602,2151,327
R17021083LD01,32400,22675,18951,3350,7611,2174,314
R17021084LD01,32137,22472,18818,3222,7578,2196,323
R17021086LD01,32450,22740,19015,3340,7578,2197,320
R17021088LD01,32310,22372,18985,3249,7587,2165,324
R17021090LD01,32526,22535,19084,3336,7578,2205,323
R17021091LD01,32154,22363,18969,3216,7530,2119,320
R17021092LD01,32397,22464,18998,3248,7651,2170,330
R17021096LD01,32304,22432,18970,3236,7632,2144,322
R17021097LD01,32336,22465,19010,3282,7568,2152,324
R17021098LD01,32394,22449,19099,3333,7501,2145,316
R17021099LD01,32460,22595,19079,3344,7557,2158,322
R17021100LD01,32276,22371,18955,3307,7545,2152,317
R17021101LD01,32185,22306,18902,3282,7546,2131,324
R17021102LD01,32238,21852,18936,3296,7587,2114,305
R17021103LD01,32431,22646,19021,3289,7589,2196,336
R17021105LD01,32505,22696,18985,3318,7670,2185,347
R17021108LD01,32566,22687,19149,3312,7633,2156,316
R17021109LD01,32390,22578,19103,3275,7552,2137,323
R17021110LD01,32528,22442,19068,3325,7657,2146,332
R17021111LD01,32504,22570,19062,3342,7606,2177,317
R17021112LD01,32491,22455,19075,3289,7620,2193,314
R17021113LD01,32400,22572,18954,3294,7645,2185,322
R17021114LD01,32566,22693,19149,3332,7595,2144,346
R17021116LD01,32374,22578,19065,3281,7544,2172,312
R17021118LD01,32263,22495,18916,3305,7566,2140,336
R17021119LD01,32388,22621,19042,3280,7570,2163,333
R17021120LD01,32435,22453,19064,3291,7591,2161,328
R17021121LD01,32559,22801,19129,3295,7669,2135,331
R17021122LD01,32211,22374,18973,3299,7495,2135,309
R17021123LD01,32175,22504,18893,3279,7540,2136,327
R17021124LD01,32372,22641,18963,3301,7612,2167,329
R17021125LD01,32252,22445,18975,3293,7512,2161,311
R17021126LD01,32411,22555,19025,3341,7575,2148,322
R17021127LD01,32423,22529,19025,3364,7555,2159,320
R17021128LD01,32314,22368,19005,3294,7548,2137,330
R17021129LD01,32274,22426,18919,3315,7597,2114,329
R17021130LD01,32330,22382,18936,3349,7573,2146,326
R17021131LD01,32218,22349,18916,3292,7535,2148,327
R17021132LD01,32366,22681,19008,3289,7599,2168,302
R17021133LD01,32448,22636,19055,3308,7632,2131,322
R17021134LD01,32436,22472,18959,3322,7670,2163,322
R17021135LD01,32021,22075,18794,3260,7518,2122,327
R17021139LD01,32420,22622,19017,3321,7595,2166,321
R17021140LD01,32182,22414,18875,3262,7547,2186,312
R17021143LD01,32025,22197,18760,3329,7462,2163,311
R17021146LD01,32293,22407,18955,3250,7636,2121,331
R17021147LD01,32380,22513,19028,3328,7549,2149,326
R17021148LD01,32292,22412,18992,3292,7511,2166,331
R17021151LD01,32241,22356,18992,3274,7511,2150,314
R17021157LD01,32574,22725,19021,3329,7708,2184,332
R17021158LD01,32382,22494,19017,3322,7532,2193,318
R17021159LD01,32154,22251,18865,3258,7515,2194,322
R17021160LD01,31923,22245,18709,3190,7561,2141,322
R17021162LD01,32493,22700,19072,3351,7571,2167,332
R17021164LD01,31896,22026,18744,3232,7513,2087,320
R17021166LD01,32226,22732,18915,3312,7517,2158,324
R17021168LD01,32122,22502,18820,3335,7513,2132,322
R17021170LD01,32346,22537,18921,3319,7577,2176,353
R17021171LD01,32398,22657,18971,3317,7641,2138,331
R17021172LD01,32369,22382,18949,3263,7678,2146,333
R17021173LD01,31905,22196,18746,3249,7504,2094,312
R17021175LD01,32639,22759,19122,3341,7697,2158,321
R17021176LD01,32106,22288,18810,3288,7572,2138,298
R17021180LD01,32255,22428,18903,3262,7584,2170,336
R17021181LD01,32030,22244,18835,3261,7487,2146,301
R17021182LD01,32090,22171,18856,3277,7547,2091,319
R17021198LD01,32284,22409,18941,3300,7509,2217,317
R17021199LD01,32380,22646,18996,3341,7590,2131,322
R17021200LD01,32249,22372,18979,3265,7539,2150,316
R17021202LD01,32513,22487,19056,3337,7640,2153,327
